PS2,567.9299999999977,328.7699999999999,127.84999999999995,189.17000000000183,1213.7100000000016
X360,590.7900000000019,275.90999999999735,10.739999999999949,84.30000000000118,961.830000000003
PS3,386.99000000000035,338.739999999999,74.06,140.13000000000045,939.860000000003
Wii,489.6199999999996,262.30999999999904,66.38999999999997,78.8400000000014,897.1800000000027
DS,371.0799999999993,191.08999999999952,163.1700000000001,59.579999999999785,784.670000000004
PS,329.9399999999997,209.12000000000054,138.23,40.62999999999994,717.1600000000009
GBA,177.38000000000005,72.10000000000014,45.739999999999995,7.609999999999942,303.22999999999985
PS4,95.8699999999999,122.3099999999999,12.879999999999983,42.94000000000002,273.8999999999999
PSP,102.2599999999997,66.80000000000008,62.45000000000003,41.110000000000014,272.43999999999903
GB,113.64,47.51,84.78000000000004,8.159999999999998,254.0799999999999
NES,125.84000000000005,21.140000000000004,98.62999999999997,5.309999999999989,250.93999999999988
XB,174.49000000000044,57.510000000000296,1.2800000000000005,8.47999999999992,241.88999999999996
3DS,77.0099999999999,57.30000000000002,92.11999999999999,12.46999999999995,238.88000000000005
PC,89.90000000000008,124.2199999999998,0.16999999999999998,22.030000000000076,236.38999999999996
N64,137.48000000000002,40.7400000000001,33.45,4.27999999999999,216.14999999999984
SNES,61.22999999999998,19.040000000000013,114.62,3.2199999999999975,198.12000000000012
GC,126.44999999999995,36.98000000000023,20.95,5.129999999999968,189.56000000000014
XOne,82.22,44.89000000000004,0.3300000000000001,11.819999999999974,139.18
2600,80.63999999999996,4.859999999999978,0,0.8400000000000004,86.42000000000006
WiiU,37.79999999999999,23.82,12.489999999999997,6.4099999999999895,80.51000000000006
PSV,15.670000000000002,15.589999999999991,14.319999999999988,8.129999999999988,53.66999999999997
SAT,0.7200000000000001,0.54,29.820000000000004,0.07,31.150000000000002
GEN,19.27,5.5200000000000005,2.09,0.8900000000000001,27.780000000000005
DC,5.43,1.6900000000000002,7.889999999999999,0.27,15.299999999999995
SCD,1,0.36,0.23,0.05,1.6400000000000001
WS,0,0,1.39,0,1.39
NG,0,0,1.2200000000000002,0,1.2200000000000002
TG16,0,0,0.14,0,0.14
